證券名稱	簡稱	年月	市場風險溢酬	規模溢酬	淨值市價比溢酬	動能因子	無風險利率
Y9999  	上市         	200002	  -3.6038	   3.4202	   1.5674	   6.2514	 5.000
Y9999  	上市         	200003	   3.2055	  -0.4550	  -7.5531	   8.8179	 5.000
Y9999  	上市         	200004	 -11.5715	   3.5635	  -4.9694	   6.7360	 5.000
Y9999  	上市         	200005	   1.5423	  -7.0962	   3.3572	  -1.8969	 5.000
Y9999  	上市         	200006	  -7.7288	  -0.9365	  -2.8165	   4.4991	 5.000
Y9999  	上市         	200007	  -2.3137	  -6.2220	   5.9049	  -6.2809	 5.000
Y9999  	上市         	200008	  -6.6582	  -5.2069	 -12.4268	  12.8671	 5.000
Y9999  	上市         	200009	 -19.1870	   0.6120	   2.7529	  -1.2249	 4.900
Y9999  	上市         	200010	 -10.4285	  -2.9450	   3.9300	  -8.4321	 4.900
Y9999  	上市         	200011	  -5.5841	  -4.4801	  -3.2938	  11.0389	 5.000
Y9999  	上市         	200012	  -8.6107	   1.9877	   9.0588	   4.2499	 5.000
Y9999  	上市         	200101	  26.7104	  -7.4503	   3.0558	 -25.8176	 5.000
Y9999  	上市         	200102	  -4.5102	  13.2211	   3.8780	  -7.4951	 4.800
Y9999  	上市         	200103	   1.5676	   6.5933	  -9.7765	  -4.6591	 4.650
Y9999  	上市         	200104	  -8.1683	  -0.2275	  -4.6422	   6.9562	 4.300
Y9999  	上市         	200105	  -6.2388	  -4.1563	  -3.2811	   4.8113	 4.050
Y9999  	上市         	200106	  -1.7977	   0.2307	  -2.0529	   4.4312	 4.050
Y9999  	上市         	200107	 -10.8541	   1.0091	  -4.3614	   7.0966	 3.850
Y9999  	上市         	200108	   3.5995	   2.6531	  13.1889	  -9.3765	 3.600
Y9999  	上市         	200109	 -19.5899	   2.2058	  -1.0986	  10.9320	 3.100
Y9999  	上市         	200110	   7.0109	  -8.0679	  -7.7548	   2.5225	 2.800
Y9999  	上市         	200111	  12.2537	  -2.8831	 -12.9924	  -3.2506	 2.450
Y9999  	上市         	200112	  24.0694	   0.7677	   2.9886	 -12.7712	 2.450
Y9999  	上市         	200201	   5.8520	   7.2026	   6.8917	  -7.8035	 2.300
Y9999  	上市         	200202	  -3.4245	   1.2136	  -0.8653	  -0.5723	 2.300
Y9999  	上市         	200203	   9.0270	   6.3398	  29.9220	 -18.9462	 2.300
Y9999  	上市         	200204	  -2.1302	   4.3959	  13.6784	 -13.3716	 2.350
Y9999  	上市         	200205	  -6.2894	  -2.7093	  -3.9137	   2.9033	 2.350
Y9999  	上市         	200206	  -9.7706	   1.9349	   5.9547	  -4.1274	 2.300
Y9999  	上市         	200207	  -3.5036	   0.9931	   1.5373	   2.2682	 2.100
Y9999  	上市         	200208	  -3.7294	   0.6497	  -7.7781	   0.4600	 2.100
Y9999  	上市         	200209	 -12.3589	   1.7275	  -8.5125	  -4.6230	 2.100
Y9999  	上市         	200210	   9.7801	  -5.9676	   7.1033	   7.4185	 2.100
Y9999  	上市         	200211	   1.9406	  -1.1085	   9.5057	   0.3234	 1.850
Y9999  	上市         	200212	  -4.9505	  -2.5862	  14.0263	   9.2204	 1.850
Y9999  	上市         	200301	  12.7179	  -4.9345	  36.1197	   9.4572	 1.550
Y9999  	上市         	200302	 -11.5149	   3.8919	 -11.5124	  -4.5320	 1.550
